credit_score,annual_income,debt_to_income,years_employed,label
595,139.3,0.41,24,0
337,101.9,0.33,10,1
826,168.5,0.05,27,0
773,94.4,0.22,11,0
752,156.8,0.23,17,0
434,187.0,0.44,22,0
545,147.8,0.33,0,0
717,36.8,0.94,29,1
457,109.7,0.69,16,1
579,94.8,0.48,15,0
692,54.3,0.59,23,1
439,175.5,0.3,25,0
819,68.1,0.05,23,0
605,170.7,0.57,21,0
795,82.1,0.55,17,0
686,102.0,0.34,6,0
692,62.0,0.75,1,1
625,154.0,0.68,25,0
455,109.2,0.08,16,0
639,176.5,0.84,14,1
315,150.0,0.42,20,1
458,33.5,0.75,8,1
382,173.3,0.82,27,1
846,88.4,0.33,22,0
336,131.1,0.26,21,0
594,199.5,0.72,13,1
402,99.9,0.67,28,1
329,28.3,0.77,9,1
550,115.6,0.56,25,0
484,50.6,0.12,27,0
809,184.3,0.18,14,0
560,102.7,0.65,28,0
461,33.3,0.9,18,1
